
(m,l) strategy
0,241.0
1,243.0
2,242.0
3,239.0
4,232.0
5,238.0
6,239.0
7,232.0
8,232.0
9,232.0
10,233.0
11,231.0
12,230.0
13,231.0
14,231.0
15,228.0
16,229.0
17,228.0
18,230.0
19,230.0
20,229.0
21,227.0
22,225.0
23,222.0
24,225.0
25,224.0
26,224.0
27,218.0
28,222.0
29,221.0
30,219.0
31,220.0
32,220.0
33,214.0
34,218.0
35,216.0
36,216.0
37,217.0
38,215.0
39,216.0
40,216.0
41,214.0
42,214.0
43,213.0
44,214.0
45,213.0
46,211.0
47,208.0
48,210.0
49,209.0
50,209.0
51,211.0
52,203.0
53,209.0
54,208.0
55,210.0
56,208.0
57,205.0
58,204.0
59,204.0
60,205.0
61,206.0
62,205.0
63,202.0
64,205.0
65,204.0
66,206.0
67,202.0
68,201.0
69,202.0
70,202.0
71,198.0
72,203.0
73,199.0
74,200.0
75,197.0
76,198.0
77,194.0
78,195.0
79,197.0
80,196.0
81,195.0
82,191.0
83,194.0
84,193.0
85,189.0
86,190.0
87,189.0
88,191.0
89,190.0
90,190.0
91,192.0
92,191.0
93,190.0
94,189.0
95,188.0
96,186.0
97,189.0
98,187.0
99,187.0
100,187.0
