
(m,l) (with ellitism) strategy
0,235.0
1,239.0
2,245.0
3,242.0
4,240.0
5,235.0
6,244.0
7,242.0
8,239.0
9,235.0
10,235.0
11,231.0
12,237.0
13,231.0
14,236.0
15,228.0
16,232.0
17,234.0
18,235.0
19,233.0
20,230.0
21,229.0
22,228.0
23,226.0
24,226.0
25,225.0
26,227.0
27,226.0
28,223.0
29,225.0
30,225.0
31,219.0
32,220.0
33,221.0
34,218.0
35,217.0
36,218.0
37,216.0
38,216.0
39,216.0
40,215.0
41,213.0
42,216.0
43,214.0
44,214.0
45,215.0
46,213.0
47,212.0
48,211.0
49,212.0
50,211.0
51,210.0
52,210.0
53,208.0
54,208.0
55,207.0
56,204.0
57,204.0
58,207.0
59,204.0
60,206.0
61,201.0
62,206.0
63,203.0
64,204.0
65,200.0
66,201.0
67,201.0
68,201.0
69,197.0
70,200.0
71,199.0
72,200.0
73,197.0
74,198.0
75,196.0
76,197.0
77,197.0
78,196.0
79,193.0
80,195.0
81,195.0
82,196.0
83,194.0
84,194.0
85,193.0
86,192.0
87,191.0
88,192.0
89,192.0
90,191.0
91,192.0
92,193.0
93,189.0
94,186.0
95,187.0
96,188.0
97,188.0
98,187.0
99,185.0
100,184.0
